number,id,reporter,created_at,updated_at,closed_at,state,locked,assignee,milestone,comments,label_name,title,pull_request,user,labels,html_url,labels_url,url,events_url,diff,patch,comments_url,body
3914,20938010,mhvk,2013-10-14T02:50:24Z,2014-07-08T10:44:56Z,2013-10-16T18:17:01Z,closed,False,,,1,,"BUG Masked arrays treated incorrectly in isclose(..,..,equal_nan=True)","{'url': u'https://api.github.com/repos/numpy/numpy/pulls/3914', 'diff_url': u'https://github.com/numpy/numpy/pull/3914.diff', 'html_url': u'https://github.com/numpy/numpy/pull/3914', 'patch_url': u'https://github.com/numpy/numpy/pull/3914.patch'}","{'following_url': u'https://api.github.com/users/mhvk/following{/other_user}', 'gists_url': u'https://api.github.com/users/mhvk/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/mhvk/orgs', 'url': u'https://api.github.com/users/mhvk', 'events_url': u'https://api.github.com/users/mhvk/events{/privacy}', 'html_url': u'https://github.com/mhvk', 'subscriptions_url': u'https://api.github.com/users/mhvk/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/2789820?v=3', 'repos_url': u'https://api.github.com/users/mhvk/repos', 'received_events_url': u'https://api.github.com/users/mhvk/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/mhvk/starred{/owner}{/repo}', 'site_admin': False, 'login': u'mhvk', 'type': u'User', 'id': 2789820, 'followers_url': u'https://api.github.com/users/mhvk/followers'}",[],https://github.com/numpy/numpy/pull/3914,https://api.github.com/repos/numpy/numpy/issues/3914/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3914,https://api.github.com/repos/numpy/numpy/issues/3914/events,https://github.com/numpy/numpy/pull/3914.diff,https://github.com/numpy/numpy/pull/3914.patch,https://api.github.com/repos/numpy/numpy/issues/3914/comments,"Currently, the mask of a MaskedArray is incorrectly changed in the following:
```
import numpy as np; from numpy import isclose, nan
m = np.ma.MaskedArray([nan, nan], mask=[True, False])
isclose(m, m, equal_nan=True)
```
yields
```
masked_array(data = [True True],
             mask = [False False],
       fill_value = True)
```
The problem lies in the fact that in `isclose`, the following final assignment is done
```
cond[isnan(x) & isnan(y)] = True 
```
The problem here is that the mask of the index is ignored in `__setitem__` (and it would be very hard to do otherwise), but and hence all elements are being set. Since `True` has no mask, the mask of all ements is cleared. To avoid this, this PR ensured that the vallues used include a mask, by replacing the above line with
```
both_nan = isnan(x) & isnan(y)
cond[both_nan] = both_nan[both_nan]
```
A test case is included as well.

p.s. This bug was found while trying to allow `MaskedArray` to behave better with subclasses; see #3907"
3913,20932670,bspinnler,2013-10-13T20:35:11Z,2013-10-16T22:35:27Z,2013-10-16T22:35:27Z,closed,False,,,1,,DOC: fixed correlate docstring.,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/3913', 'diff_url': u'https://github.com/numpy/numpy/pull/3913.diff', 'html_url': u'https://github.com/numpy/numpy/pull/3913', 'patch_url': u'https://github.com/numpy/numpy/pull/3913.patch'}","{'following_url': u'https://api.github.com/users/bspinnler/following{/other_user}', 'gists_url': u'https://api.github.com/users/bspinnler/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/bspinnler/orgs', 'url': u'https://api.github.com/users/bspinnler', 'events_url': u'https://api.github.com/users/bspinnler/events{/privacy}', 'html_url': u'https://github.com/bspinnler', 'subscriptions_url': u'https://api.github.com/users/bspinnler/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/5675168?v=3', 'repos_url': u'https://api.github.com/users/bspinnler/repos', 'received_events_url': u'https://api.github.com/users/bspinnler/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/bspinnler/starred{/owner}{/repo}', 'site_admin': False, 'login': u'bspinnler', 'type': u'User', 'id': 5675168, 'followers_url': u'https://api.github.com/users/bspinnler/followers'}",[],https://github.com/numpy/numpy/pull/3913,https://api.github.com/repos/numpy/numpy/issues/3913/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3913,https://api.github.com/repos/numpy/numpy/issues/3913/events,https://github.com/numpy/numpy/pull/3913.diff,https://github.com/numpy/numpy/pull/3913.patch,https://api.github.com/repos/numpy/numpy/issues/3913/comments,"Replaced correlation formula with corrected version that matches the
numpy implementation. Added comment on possible further different
definitions of correlation. Added examples."
3912,20932601,davidosterberg,2013-10-13T20:30:59Z,2015-02-13T01:58:39Z,2013-10-13T20:46:34Z,closed,False,,,12,,Provide an easy way to check BLAS/LAPACK linkage from python,,"{'following_url': u'https://api.github.com/users/davidosterberg/following{/other_user}', 'gists_url': u'https://api.github.com/users/davidosterberg/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/davidosterberg/orgs', 'url': u'https://api.github.com/users/davidosterberg', 'events_url': u'https://api.github.com/users/davidosterberg/events{/privacy}', 'html_url': u'https://github.com/davidosterberg', 'subscriptions_url': u'https://api.github.com/users/davidosterberg/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/1278189?v=3', 'repos_url': u'https://api.github.com/users/davidosterberg/repos', 'received_events_url': u'https://api.github.com/users/davidosterberg/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/davidosterberg/starred{/owner}{/repo}', 'site_admin': False, 'login': u'davidosterberg', 'type': u'User', 'id': 1278189, 'followers_url': u'https://api.github.com/users/davidosterberg/followers'}",[],https://github.com/numpy/numpy/issues/3912,https://api.github.com/repos/numpy/numpy/issues/3912/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3912,https://api.github.com/repos/numpy/numpy/issues/3912/events,https://github.com/numpy/numpy/pull/3913.diff,https://github.com/numpy/numpy/pull/3913.patch,https://api.github.com/repos/numpy/numpy/issues/3912/comments,"According to the answers to this [stackoverflow](http://stackoverflow.com/questions/9000164/how-to-check-blas-lapack-linkage-in-numpy-scipy) question the only way to check if Numpy is using the system BLAS/LAPACK is to inspect the output of `ldd` on some library belonging to numpy hidden deep in the filesystem. In fact I am not 100 % sure that I interprete my results correctly. 

It would be nice with something like

    >>>print(numpy._lapack_version_)
    3.4.2

    >>>print(numpy._blas_version_)
    OpenBLAS 0.2.8

or if we are using the fallback

    >>>print(numpy._lapack_version_)
    fallback


"
3911,20931996,charris,2013-10-13T19:52:16Z,2014-06-28T10:59:55Z,2013-10-13T20:37:05Z,closed,False,,"{'description': u'Tentative NumPy 1.8 release', 'creator': {'following_url': u'https://api.github.com/users/teoliphant/following{/other_user}', 'gists_url': u'https://api.github.com/users/teoliphant/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/teoliphant/orgs', 'url': u'https://api.github.com/users/teoliphant', 'events_url': u'https://api.github.com/users/teoliphant/events{/privacy}', 'html_url': u'https://github.com/teoliphant', 'subscriptions_url': u'https://api.github.com/users/teoliphant/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/254880?v=3', 'repos_url': u'https://api.github.com/users/teoliphant/repos', 'received_events_url': u'https://api.github.com/users/teoliphant/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/teoliphant/starred{/owner}{/repo}', 'site_admin': False, 'login': u'teoliphant', 'type': u'User', 'id': 254880, 'followers_url': u'https://api.github.com/users/teoliphant/followers'}, 'url': u'https://api.github.com/repos/numpy/numpy/milestones/1', 'labels_url': u'https://api.github.com/repos/numpy/numpy/milestones/1/labels', 'created_at': u'2012-02-11T20:17:55Z', 'title': u'1.8 blockers', 'number': 1, 'html_url': u'https://github.com/numpy/numpy/milestones/1.8%20blockers', 'updated_at': u'2015-03-21T02:12:03Z', 'open_issues': 0, 'state': u'closed', 'closed_issues': 89, 'due_on': None, 'closed_at': u'2015-03-21T02:12:03Z', 'id': 83296}",0,,backport-1.8-3910,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/3911', 'diff_url': u'https://github.com/numpy/numpy/pull/3911.diff', 'html_url': u'https://github.com/numpy/numpy/pull/3911', 'patch_url': u'https://github.com/numpy/numpy/pull/3911.patch'}","{'following_url': u'https://api.github.com/users/charris/following{/other_user}', 'gists_url': u'https://api.github.com/users/charris/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/charris/orgs', 'url': u'https://api.github.com/users/charris', 'events_url': u'https://api.github.com/users/charris/events{/privacy}', 'html_url': u'https://github.com/charris', 'subscriptions_url': u'https://api.github.com/users/charris/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/77272?v=3', 'repos_url': u'https://api.github.com/users/charris/repos', 'received_events_url': u'https://api.github.com/users/charris/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/charris/starred{/owner}{/repo}', 'site_admin': False, 'login': u'charris', 'type': u'User', 'id': 77272, 'followers_url': u'https://api.github.com/users/charris/followers'}",[],https://github.com/numpy/numpy/pull/3911,https://api.github.com/repos/numpy/numpy/issues/3911/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3911,https://api.github.com/repos/numpy/numpy/issues/3911/events,https://github.com/numpy/numpy/pull/3911.diff,https://github.com/numpy/numpy/pull/3911.patch,https://api.github.com/repos/numpy/numpy/issues/3911/comments,Backport #3910: `MAINT: update runtests.py from scipy`.
3910,20931093,pv,2013-10-13T18:55:25Z,2013-10-13T19:52:16Z,2013-10-13T19:42:50Z,closed,False,,,3,,MAINT: update runtests.py from scipy,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/3910', 'diff_url': u'https://github.com/numpy/numpy/pull/3910.diff', 'html_url': u'https://github.com/numpy/numpy/pull/3910', 'patch_url': u'https://github.com/numpy/numpy/pull/3910.patch'}","{'following_url': u'https://api.github.com/users/pv/following{/other_user}', 'gists_url': u'https://api.github.com/users/pv/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/pv/orgs', 'url': u'https://api.github.com/users/pv', 'events_url': u'https://api.github.com/users/pv/events{/privacy}', 'html_url': u'https://github.com/pv', 'subscriptions_url': u'https://api.github.com/users/pv/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/35046?v=3', 'repos_url': u'https://api.github.com/users/pv/repos', 'received_events_url': u'https://api.github.com/users/pv/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/pv/starred{/owner}{/repo}', 'site_admin': False, 'login': u'pv', 'type': u'User', 'id': 35046, 'followers_url': u'https://api.github.com/users/pv/followers'}",[],https://github.com/numpy/numpy/pull/3910,https://api.github.com/repos/numpy/numpy/issues/3910/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3910,https://api.github.com/repos/numpy/numpy/issues/3910/events,https://github.com/numpy/numpy/pull/3910.diff,https://github.com/numpy/numpy/pull/3910.patch,https://api.github.com/repos/numpy/numpy/issues/3910/comments,"The additional chdir before starting the test allows tests that launch
subprocesses to run.

Fixes gh-3909"
3909,20929414,charris,2013-10-13T16:59:25Z,2013-10-13T19:42:50Z,2013-10-13T19:42:50Z,closed,False,,,11,,runtests.py missing some tests.,,"{'following_url': u'https://api.github.com/users/charris/following{/other_user}', 'gists_url': u'https://api.github.com/users/charris/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/charris/orgs', 'url': u'https://api.github.com/users/charris', 'events_url': u'https://api.github.com/users/charris/events{/privacy}', 'html_url': u'https://github.com/charris', 'subscriptions_url': u'https://api.github.com/users/charris/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/77272?v=3', 'repos_url': u'https://api.github.com/users/charris/repos', 'received_events_url': u'https://api.github.com/users/charris/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/charris/starred{/owner}{/repo}', 'site_admin': False, 'login': u'charris', 'type': u'User', 'id': 77272, 'followers_url': u'https://api.github.com/users/charris/followers'}",[],https://github.com/numpy/numpy/issues/3909,https://api.github.com/repos/numpy/numpy/issues/3909/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3909,https://api.github.com/repos/numpy/numpy/issues/3909/events,https://github.com/numpy/numpy/pull/3910.diff,https://github.com/numpy/numpy/pull/3910.patch,https://api.github.com/repos/numpy/numpy/issues/3909/comments,"There should be more than 5200 tests run, but
``` 
python3 runtests.py --mode full
```
gives
``
Ran 4637 tests in 274.319s
```"
3908,20929230,juliantaylor,2013-10-13T16:46:53Z,2014-06-16T03:32:34Z,2014-03-13T22:34:07Z,closed,False,,,26,,add extended axis and keepdims support to percentile and median,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/3908', 'diff_url': u'https://github.com/numpy/numpy/pull/3908.diff', 'html_url': u'https://github.com/numpy/numpy/pull/3908', 'patch_url': u'https://github.com/numpy/numpy/pull/3908.patch'}","{'following_url': u'https://api.github.com/users/juliantaylor/following{/other_user}', 'gists_url': u'https://api.github.com/users/juliantaylor/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/juliantaylor/orgs', 'url': u'https://api.github.com/users/juliantaylor', 'events_url': u'https://api.github.com/users/juliantaylor/events{/privacy}', 'html_url': u'https://github.com/juliantaylor', 'subscriptions_url': u'https://api.github.com/users/juliantaylor/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/542663?v=3', 'repos_url': u'https://api.github.com/users/juliantaylor/repos', 'received_events_url': u'https://api.github.com/users/juliantaylor/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/juliantaylor/starred{/owner}{/repo}', 'site_admin': False, 'login': u'juliantaylor', 'type': u'User', 'id': 542663, 'followers_url': u'https://api.github.com/users/juliantaylor/followers'}",[],https://github.com/numpy/numpy/pull/3908,https://api.github.com/repos/numpy/numpy/issues/3908/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3908,https://api.github.com/repos/numpy/numpy/issues/3908/events,https://github.com/numpy/numpy/pull/3908.diff,https://github.com/numpy/numpy/pull/3908.patch,https://api.github.com/repos/numpy/numpy/issues/3908/comments,
3907,20922434,mhvk,2013-10-13T06:04:37Z,2015-06-17T20:09:43Z,2015-06-17T19:44:39Z,closed,False,,,31,component: numpy.ma;Maintenance,BUG allow subclasses in MaskedArray ufuncs -- for non-ndarray _data,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/3907', 'diff_url': u'https://github.com/numpy/numpy/pull/3907.diff', 'html_url': u'https://github.com/numpy/numpy/pull/3907', 'patch_url': u'https://github.com/numpy/numpy/pull/3907.patch'}","{'following_url': u'https://api.github.com/users/mhvk/following{/other_user}', 'gists_url': u'https://api.github.com/users/mhvk/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/mhvk/orgs', 'url': u'https://api.github.com/users/mhvk', 'events_url': u'https://api.github.com/users/mhvk/events{/privacy}', 'html_url': u'https://github.com/mhvk', 'subscriptions_url': u'https://api.github.com/users/mhvk/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/2789820?v=3', 'repos_url': u'https://api.github.com/users/mhvk/repos', 'received_events_url': u'https://api.github.com/users/mhvk/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/mhvk/starred{/owner}{/repo}', 'site_admin': False, 'login': u'mhvk', 'type': u'User', 'id': 2789820, 'followers_url': u'https://api.github.com/users/mhvk/followers'}","[{'url': u'https://api.github.com/repos/numpy/numpy/labels/component:%20numpy.ma', 'color': u'ff0000', 'name': u'component: numpy.ma'}, {'url': u'https://api.github.com/repos/numpy/numpy/labels/Maintenance', 'color': u'02e10c', 'name': u'Maintenance'}]",https://github.com/numpy/numpy/pull/3907,https://api.github.com/repos/numpy/numpy/issues/3907/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3907,https://api.github.com/repos/numpy/numpy/issues/3907/events,https://github.com/numpy/numpy/pull/3907.diff,https://github.com/numpy/numpy/pull/3907.patch,https://api.github.com/repos/numpy/numpy/issues/3907/comments,"This is a follow-on to #3900, making two furthe changes to tryto reach the ultimate goal of `MaskedArray` behaving sensibly for subclasses. 
1. Ensure that for two-argument ufunc's, the data in the subclass are no longer converted to `ndarray`; rather, a possible subclass is kept. This is particularly relevant for my work on a `MaskedQuantity` class, where `_data` contains a `Quantity` which has not just a value (the ndarray) but also a unit.
2. Avoid the creation of `object` arrays, so that non-array Classes with an `__array_priority__` set and with a reverse method defined properly lead to `NotImplemented` (i.e., making the behaviour match that of regular arrays).

In order for this to work, I
- removed `subok=False` in the `getdata` calls in the two `BinaryOperation` classes
- slightly changed the method used to keep previous values when they are masked, including allowing this to fail (e.g., when I multiply two masked quantities in meters, the result is an area, and hence it is senseless to keep the original values, and quantities raise an appropriate UnitError). (Without this, the matrix subclass tests would not pass).
- slightly changed the order, with result masks only calculated if the primary calculation succeeded.
- slightly changed `getdata` to avoid the creation of `object` arrays, and `getmaskedarray` to deal with the consequences.

I also added a test case, which perhaps best makes clear why this is useful. 

CC @charris -- I consider the above a correction of a bug, but realise this is subjective; it could also be ENH, even though the API does not change. It would be wonderful if this could still make it to 1.8."
3906,20920507,mhvk,2013-10-13T02:06:01Z,2013-10-14T00:15:15Z,2013-10-13T21:58:41Z,closed,False,,,9,,Convert docstrings to comments for nose; PEP8 cleanup (some tests activated),"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/3906', 'diff_url': u'https://github.com/numpy/numpy/pull/3906.diff', 'html_url': u'https://github.com/numpy/numpy/pull/3906', 'patch_url': u'https://github.com/numpy/numpy/pull/3906.patch'}","{'following_url': u'https://api.github.com/users/mhvk/following{/other_user}', 'gists_url': u'https://api.github.com/users/mhvk/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/mhvk/orgs', 'url': u'https://api.github.com/users/mhvk', 'events_url': u'https://api.github.com/users/mhvk/events{/privacy}', 'html_url': u'https://github.com/mhvk', 'subscriptions_url': u'https://api.github.com/users/mhvk/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/2789820?v=3', 'repos_url': u'https://api.github.com/users/mhvk/repos', 'received_events_url': u'https://api.github.com/users/mhvk/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/mhvk/starred{/owner}{/repo}', 'site_admin': False, 'login': u'mhvk', 'type': u'User', 'id': 2789820, 'followers_url': u'https://api.github.com/users/mhvk/followers'}",[],https://github.com/numpy/numpy/pull/3906,https://api.github.com/repos/numpy/numpy/issues/3906/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3906,https://api.github.com/repos/numpy/numpy/issues/3906/events,https://github.com/numpy/numpy/pull/3906.diff,https://github.com/numpy/numpy/pull/3906.patch,https://api.github.com/repos/numpy/numpy/issues/3906/comments,"@charris -- hmm, have to be more careful what I volunteer for next time ;-) Anyway, no more docstrings in `ma.tests` and nothing pink in my emacs window. In the process, discovered that a few cases where I was warned that a variable was assigned to, it implied that a test did not actually run correctly. For one of those cases, what is tested actually fails (I'll add a line note)."
3905,20920049,charris,2013-10-13T01:14:10Z,2014-07-01T10:26:13Z,2013-10-13T01:52:10Z,closed,False,,"{'description': u'Tentative NumPy 1.8 release', 'creator': {'following_url': u'https://api.github.com/users/teoliphant/following{/other_user}', 'gists_url': u'https://api.github.com/users/teoliphant/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/teoliphant/orgs', 'url': u'https://api.github.com/users/teoliphant', 'events_url': u'https://api.github.com/users/teoliphant/events{/privacy}', 'html_url': u'https://github.com/teoliphant', 'subscriptions_url': u'https://api.github.com/users/teoliphant/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/254880?v=3', 'repos_url': u'https://api.github.com/users/teoliphant/repos', 'received_events_url': u'https://api.github.com/users/teoliphant/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/teoliphant/starred{/owner}{/repo}', 'site_admin': False, 'login': u'teoliphant', 'type': u'User', 'id': 254880, 'followers_url': u'https://api.github.com/users/teoliphant/followers'}, 'url': u'https://api.github.com/repos/numpy/numpy/milestones/1', 'labels_url': u'https://api.github.com/repos/numpy/numpy/milestones/1/labels', 'created_at': u'2012-02-11T20:17:55Z', 'title': u'1.8 blockers', 'number': 1, 'html_url': u'https://github.com/numpy/numpy/milestones/1.8%20blockers', 'updated_at': u'2015-03-21T02:12:03Z', 'open_issues': 0, 'state': u'closed', 'closed_issues': 89, 'due_on': None, 'closed_at': u'2015-03-21T02:12:03Z', 'id': 83296}",0,,Backport 1.8 3900,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/3905', 'diff_url': u'https://github.com/numpy/numpy/pull/3905.diff', 'html_url': u'https://github.com/numpy/numpy/pull/3905', 'patch_url': u'https://github.com/numpy/numpy/pull/3905.patch'}","{'following_url': u'https://api.github.com/users/charris/following{/other_user}', 'gists_url': u'https://api.github.com/users/charris/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/charris/orgs', 'url': u'https://api.github.com/users/charris', 'events_url': u'https://api.github.com/users/charris/events{/privacy}', 'html_url': u'https://github.com/charris', 'subscriptions_url': u'https://api.github.com/users/charris/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/77272?v=3', 'repos_url': u'https://api.github.com/users/charris/repos', 'received_events_url': u'https://api.github.com/users/charris/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/charris/starred{/owner}{/repo}', 'site_admin': False, 'login': u'charris', 'type': u'User', 'id': 77272, 'followers_url': u'https://api.github.com/users/charris/followers'}",[],https://github.com/numpy/numpy/pull/3905,https://api.github.com/repos/numpy/numpy/issues/3905/labels{/name},https://api.github.com/repos/numpy/numpy/issues/3905,https://api.github.com/repos/numpy/numpy/issues/3905/events,https://github.com/numpy/numpy/pull/3905.diff,https://github.com/numpy/numpy/pull/3905.patch,https://api.github.com/repos/numpy/numpy/issues/3905/comments,Backport #3900: `Ensure NotImplemented is passed on in MaskedArray ufunc's`
