number,id,reporter,created_at,updated_at,closed_at,state,locked,assignee,milestone,comments,label_name,title,pull_request,user,labels,html_url,labels_url,url,events_url,diff,patch,comments_url,body
2914,9924735,charris,2013-01-13T18:23:05Z,2014-08-09T14:08:56Z,2013-01-15T23:30:56Z,closed,False,,,4,,Remove scons support,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/2914', 'diff_url': u'https://github.com/numpy/numpy/pull/2914.diff', 'html_url': u'https://github.com/numpy/numpy/pull/2914', 'patch_url': u'https://github.com/numpy/numpy/pull/2914.patch'}","{'following_url': u'https://api.github.com/users/charris/following{/other_user}', 'gists_url': u'https://api.github.com/users/charris/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/charris/orgs', 'url': u'https://api.github.com/users/charris', 'events_url': u'https://api.github.com/users/charris/events{/privacy}', 'html_url': u'https://github.com/charris', 'subscriptions_url': u'https://api.github.com/users/charris/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/77272?v=3', 'repos_url': u'https://api.github.com/users/charris/repos', 'received_events_url': u'https://api.github.com/users/charris/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/charris/starred{/owner}{/repo}', 'site_admin': False, 'login': u'charris', 'type': u'User', 'id': 77272, 'followers_url': u'https://api.github.com/users/charris/followers'}",[],https://github.com/numpy/numpy/pull/2914,https://api.github.com/repos/numpy/numpy/issues/2914/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2914,https://api.github.com/repos/numpy/numpy/issues/2914/events,https://github.com/numpy/numpy/pull/2914.diff,https://github.com/numpy/numpy/pull/2914.patch,https://api.github.com/repos/numpy/numpy/issues/2914/comments,"The files and code needed to support SCons builds is removed.

@cournape David, can you check the code removal in the distutils functions? It may be possible the remove numpy/distutils/numpy_distribution.py as well, but that wasn't clear to me. Also, can numpy/core/setup_common.py now be merged with the setup.py file?"
2913,9923543,njsmith,2013-01-13T16:35:13Z,2013-01-24T17:07:56Z,2013-01-24T17:07:56Z,closed,False,,"{'description': u'Tentative NumPy 1.8 release', 'creator': {'following_url': u'https://api.github.com/users/teoliphant/following{/other_user}', 'gists_url': u'https://api.github.com/users/teoliphant/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/teoliphant/orgs', 'url': u'https://api.github.com/users/teoliphant', 'events_url': u'https://api.github.com/users/teoliphant/events{/privacy}', 'html_url': u'https://github.com/teoliphant', 'subscriptions_url': u'https://api.github.com/users/teoliphant/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/254880?v=3', 'repos_url': u'https://api.github.com/users/teoliphant/repos', 'received_events_url': u'https://api.github.com/users/teoliphant/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/teoliphant/starred{/owner}{/repo}', 'site_admin': False, 'login': u'teoliphant', 'type': u'User', 'id': 254880, 'followers_url': u'https://api.github.com/users/teoliphant/followers'}, 'url': u'https://api.github.com/repos/numpy/numpy/milestones/1', 'labels_url': u'https://api.github.com/repos/numpy/numpy/milestones/1/labels', 'created_at': u'2012-02-11T20:17:55Z', 'title': u'1.8 blockers', 'number': 1, 'html_url': u'https://github.com/numpy/numpy/milestones/1.8%20blockers', 'updated_at': u'2015-03-21T02:12:03Z', 'open_issues': 0, 'state': u'closed', 'closed_issues': 89, 'due_on': None, 'closed_at': u'2015-03-21T02:12:03Z', 'id': 83296}",8,,Switch to separate compilation by default,,"{'following_url': u'https://api.github.com/users/njsmith/following{/other_user}', 'gists_url': u'https://api.github.com/users/njsmith/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/njsmith/orgs', 'url': u'https://api.github.com/users/njsmith', 'events_url': u'https://api.github.com/users/njsmith/events{/privacy}', 'html_url': u'https://github.com/njsmith', 'subscriptions_url': u'https://api.github.com/users/njsmith/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/609896?v=3', 'repos_url': u'https://api.github.com/users/njsmith/repos', 'received_events_url': u'https://api.github.com/users/njsmith/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/njsmith/starred{/owner}{/repo}', 'site_admin': False, 'login': u'njsmith', 'type': u'User', 'id': 609896, 'followers_url': u'https://api.github.com/users/njsmith/followers'}",[],https://github.com/numpy/numpy/issues/2913,https://api.github.com/repos/numpy/numpy/issues/2913/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2913,https://api.github.com/repos/numpy/numpy/issues/2913/events,https://github.com/numpy/numpy/pull/2914.diff,https://github.com/numpy/numpy/pull/2914.patch,https://api.github.com/repos/numpy/numpy/issues/2913/comments,"Let's make 1.8 use separate compilation by default, with an eye towards eventually phasing out the ""one big blob"" style of compilation (though for now we will certainly continue to support both).

Todo:
* Make the code that checks for NPY_SEPARATE_COMPILATION instead check for NPY_ALL_IN_ONE_COMPILATION (or something like that), and flip the default
* Update the .travis.yml so that it runs some tests with this new variable set instead of the current NPY_SEPARATE_COMPILATION tests
* Make sure to document the new variable somewhere so in case anyone runs into problems caused by this, they have some hope of reverting to the old behaviour without having to work it out from first principles."
2912,9921266,callegar,2013-01-13T12:29:44Z,2015-03-25T06:48:29Z,2015-03-25T06:48:29Z,closed,False,,,5,component: numpy.testing;Defect;Easy Fix;priority: normal,numpy.testing.assert_allclose reports wrong mismatch %,,"{'following_url': u'https://api.github.com/users/callegar/following{/other_user}', 'gists_url': u'https://api.github.com/users/callegar/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/callegar/orgs', 'url': u'https://api.github.com/users/callegar', 'events_url': u'https://api.github.com/users/callegar/events{/privacy}', 'html_url': u'https://github.com/callegar', 'subscriptions_url': u'https://api.github.com/users/callegar/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/1041166?v=3', 'repos_url': u'https://api.github.com/users/callegar/repos', 'received_events_url': u'https://api.github.com/users/callegar/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/callegar/starred{/owner}{/repo}', 'site_admin': False, 'login': u'callegar', 'type': u'User', 'id': 1041166, 'followers_url': u'https://api.github.com/users/callegar/followers'}","[{'url': u'https://api.github.com/repos/numpy/numpy/labels/component:%20numpy.testing', 'color': u'ff0000', 'name': u'component: numpy.testing'}, {'url': u'https://api.github.com/repos/numpy/numpy/labels/Defect', 'color': u'444444', 'name': u'Defect'}, {'url': u'https://api.github.com/repos/numpy/numpy/labels/Easy%20Fix', 'color': u'02e10c', 'name': u'Easy Fix'}, {'url': u'https://api.github.com/repos/numpy/numpy/labels/priority:%20normal', 'color': u'ff0000', 'name': u'priority: normal'}]",https://github.com/numpy/numpy/issues/2912,https://api.github.com/repos/numpy/numpy/issues/2912/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2912,https://api.github.com/repos/numpy/numpy/issues/2912/events,https://github.com/numpy/numpy/pull/2914.diff,https://github.com/numpy/numpy/pull/2914.patch,https://api.github.com/repos/numpy/numpy/issues/2912/comments,"numpy.testing.assert_allclose([1,2,3],[1,2.01,3]) returns

mismatch 100.0%

numpy.testing.assert_almost_equal([1,2,3],[1,2.01,3]) correctly returns

mismatch 33%"
2911,9915719,certik,2013-01-12T22:23:29Z,2013-01-16T17:49:20Z,2013-01-16T17:49:20Z,closed,False,,"{'description': u'', 'creator': {'following_url': u'https://api.github.com/users/teoliphant/following{/other_user}', 'gists_url': u'https://api.github.com/users/teoliphant/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/teoliphant/orgs', 'url': u'https://api.github.com/users/teoliphant', 'events_url': u'https://api.github.com/users/teoliphant/events{/privacy}', 'html_url': u'https://github.com/teoliphant', 'subscriptions_url': u'https://api.github.com/users/teoliphant/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/254880?v=3', 'repos_url': u'https://api.github.com/users/teoliphant/repos', 'received_events_url': u'https://api.github.com/users/teoliphant/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/teoliphant/starred{/owner}{/repo}', 'site_admin': False, 'login': u'teoliphant', 'type': u'User', 'id': 254880, 'followers_url': u'https://api.github.com/users/teoliphant/followers'}, 'url': u'https://api.github.com/repos/numpy/numpy/milestones/3', 'labels_url': u'https://api.github.com/repos/numpy/numpy/milestones/3/labels', 'created_at': u'2012-06-05T05:06:48Z', 'title': u'NumPy 1.7', 'number': 3, 'html_url': u'https://github.com/numpy/numpy/milestones/NumPy%201.7', 'updated_at': u'2013-02-15T02:27:05Z', 'open_issues': 0, 'state': u'closed', 'closed_issues': 182, 'due_on': None, 'closed_at': u'2013-02-15T02:27:05Z', 'id': 128037}",6,,Backport 2901,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/2911', 'diff_url': u'https://github.com/numpy/numpy/pull/2911.diff', 'html_url': u'https://github.com/numpy/numpy/pull/2911', 'patch_url': u'https://github.com/numpy/numpy/pull/2911.patch'}","{'following_url': u'https://api.github.com/users/certik/following{/other_user}', 'gists_url': u'https://api.github.com/users/certik/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/certik/orgs', 'url': u'https://api.github.com/users/certik', 'events_url': u'https://api.github.com/users/certik/events{/privacy}', 'html_url': u'https://github.com/certik', 'subscriptions_url': u'https://api.github.com/users/certik/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/20568?v=3', 'repos_url': u'https://api.github.com/users/certik/repos', 'received_events_url': u'https://api.github.com/users/certik/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/certik/starred{/owner}{/repo}', 'site_admin': False, 'login': u'certik', 'type': u'User', 'id': 20568, 'followers_url': u'https://api.github.com/users/certik/followers'}",[],https://github.com/numpy/numpy/pull/2911,https://api.github.com/repos/numpy/numpy/issues/2911/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2911,https://api.github.com/repos/numpy/numpy/issues/2911/events,https://github.com/numpy/numpy/pull/2911.diff,https://github.com/numpy/numpy/pull/2911.patch,https://api.github.com/repos/numpy/numpy/issues/2911/comments,"Backports #2901.

@charris, would you mind reviewing the release notes change please?"
2910,9913785,rutsky,2013-01-12T19:09:01Z,2014-08-09T14:08:55Z,2013-01-12T20:07:08Z,closed,False,,,1,,Fix typo in SVD usage example,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/2910', 'diff_url': u'https://github.com/numpy/numpy/pull/2910.diff', 'html_url': u'https://github.com/numpy/numpy/pull/2910', 'patch_url': u'https://github.com/numpy/numpy/pull/2910.patch'}","{'following_url': u'https://api.github.com/users/rutsky/following{/other_user}', 'gists_url': u'https://api.github.com/users/rutsky/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/rutsky/orgs', 'url': u'https://api.github.com/users/rutsky', 'events_url': u'https://api.github.com/users/rutsky/events{/privacy}', 'html_url': u'https://github.com/rutsky', 'subscriptions_url': u'https://api.github.com/users/rutsky/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/46573?v=3', 'repos_url': u'https://api.github.com/users/rutsky/repos', 'received_events_url': u'https://api.github.com/users/rutsky/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/rutsky/starred{/owner}{/repo}', 'site_admin': False, 'login': u'rutsky', 'type': u'User', 'id': 46573, 'followers_url': u'https://api.github.com/users/rutsky/followers'}",[],https://github.com/numpy/numpy/pull/2910,https://api.github.com/repos/numpy/numpy/issues/2910/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2910,https://api.github.com/repos/numpy/numpy/issues/2910/events,https://github.com/numpy/numpy/pull/2910.diff,https://github.com/numpy/numpy/pull/2910.patch,https://api.github.com/repos/numpy/numpy/issues/2910/comments,
2909,9900398,argriffing,2013-01-12T01:02:30Z,2014-08-09T14:08:55Z,2013-01-13T02:57:04Z,closed,False,,,3,,remove a confusing docstring line,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/2909', 'diff_url': u'https://github.com/numpy/numpy/pull/2909.diff', 'html_url': u'https://github.com/numpy/numpy/pull/2909', 'patch_url': u'https://github.com/numpy/numpy/pull/2909.patch'}","{'following_url': u'https://api.github.com/users/argriffing/following{/other_user}', 'gists_url': u'https://api.github.com/users/argriffing/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/argriffing/orgs', 'url': u'https://api.github.com/users/argriffing', 'events_url': u'https://api.github.com/users/argriffing/events{/privacy}', 'html_url': u'https://github.com/argriffing', 'subscriptions_url': u'https://api.github.com/users/argriffing/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/101416?v=3', 'repos_url': u'https://api.github.com/users/argriffing/repos', 'received_events_url': u'https://api.github.com/users/argriffing/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/argriffing/starred{/owner}{/repo}', 'site_admin': False, 'login': u'argriffing', 'type': u'User', 'id': 101416, 'followers_url': u'https://api.github.com/users/argriffing/followers'}",[],https://github.com/numpy/numpy/pull/2909,https://api.github.com/repos/numpy/numpy/issues/2909/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2909,https://api.github.com/repos/numpy/numpy/issues/2909/events,https://github.com/numpy/numpy/pull/2909.diff,https://github.com/numpy/numpy/pull/2909.patch,https://api.github.com/repos/numpy/numpy/issues/2909/comments,"ones_like:

""With default parameters, is equivalent to a.copy().fill(1).""

This is not technically true, because 'fill' returns None."
2908,9899287,argriffing,2013-01-11T23:59:58Z,2014-08-09T14:08:54Z,2013-01-12T01:36:52Z,closed,False,,,0,,Update numpy/core/code_generators/ufunc_docstrings.py,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/2908', 'diff_url': u'https://github.com/numpy/numpy/pull/2908.diff', 'html_url': u'https://github.com/numpy/numpy/pull/2908', 'patch_url': u'https://github.com/numpy/numpy/pull/2908.patch'}","{'following_url': u'https://api.github.com/users/argriffing/following{/other_user}', 'gists_url': u'https://api.github.com/users/argriffing/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/argriffing/orgs', 'url': u'https://api.github.com/users/argriffing', 'events_url': u'https://api.github.com/users/argriffing/events{/privacy}', 'html_url': u'https://github.com/argriffing', 'subscriptions_url': u'https://api.github.com/users/argriffing/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/101416?v=3', 'repos_url': u'https://api.github.com/users/argriffing/repos', 'received_events_url': u'https://api.github.com/users/argriffing/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/argriffing/starred{/owner}{/repo}', 'site_admin': False, 'login': u'argriffing', 'type': u'User', 'id': 101416, 'followers_url': u'https://api.github.com/users/argriffing/followers'}",[],https://github.com/numpy/numpy/pull/2908,https://api.github.com/repos/numpy/numpy/issues/2908/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2908,https://api.github.com/repos/numpy/numpy/issues/2908/events,https://github.com/numpy/numpy/pull/2908.diff,https://github.com/numpy/numpy/pull/2908.patch,https://api.github.com/repos/numpy/numpy/issues/2908/comments,
2907,9898380,seberg,2013-01-11T23:19:23Z,2014-08-09T14:08:52Z,2013-01-14T00:09:51Z,closed,False,,,7,,Nonarray assignment regression for boolean indexing and 1d unsafe casting,"{'url': u'https://api.github.com/repos/numpy/numpy/pulls/2907', 'diff_url': u'https://github.com/numpy/numpy/pull/2907.diff', 'html_url': u'https://github.com/numpy/numpy/pull/2907', 'patch_url': u'https://github.com/numpy/numpy/pull/2907.patch'}","{'following_url': u'https://api.github.com/users/seberg/following{/other_user}', 'gists_url': u'https://api.github.com/users/seberg/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/seberg/orgs', 'url': u'https://api.github.com/users/seberg', 'events_url': u'https://api.github.com/users/seberg/events{/privacy}', 'html_url': u'https://github.com/seberg', 'subscriptions_url': u'https://api.github.com/users/seberg/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/61977?v=3', 'repos_url': u'https://api.github.com/users/seberg/repos', 'received_events_url': u'https://api.github.com/users/seberg/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/seberg/starred{/owner}{/repo}', 'site_admin': False, 'login': u'seberg', 'type': u'User', 'id': 61977, 'followers_url': u'https://api.github.com/users/seberg/followers'}",[],https://github.com/numpy/numpy/pull/2907,https://api.github.com/repos/numpy/numpy/issues/2907/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2907,https://api.github.com/repos/numpy/numpy/issues/2907/events,https://github.com/numpy/numpy/pull/2907.diff,https://github.com/numpy/numpy/pull/2907.patch,https://api.github.com/repos/numpy/numpy/issues/2907/comments,"There are two commits here, the first one is a regression in 1.7. and probably should be backported, the second one gives a special case the same behaviour as (most?) other code branches for index assignments has:

 1. Fix a regression that a = np.array([1,2]), b = np.array([True, True]) then a[b] = np.nan fails (but a[b] = np.array(np.nan) does not as it never did)
 2. Make 1d special case with r = np.array([0,1]), a[r] = 12.5 use unsafe casting as the rest of the assignments normally use, but still keep make a[r] = np.nan fail as before."
2906,9898057,argriffing,2013-01-11T23:06:31Z,2013-01-12T00:08:27Z,2013-01-12T00:08:27Z,closed,False,,,4,,docstring typo,,"{'following_url': u'https://api.github.com/users/argriffing/following{/other_user}', 'gists_url': u'https://api.github.com/users/argriffing/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/argriffing/orgs', 'url': u'https://api.github.com/users/argriffing', 'events_url': u'https://api.github.com/users/argriffing/events{/privacy}', 'html_url': u'https://github.com/argriffing', 'subscriptions_url': u'https://api.github.com/users/argriffing/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/101416?v=3', 'repos_url': u'https://api.github.com/users/argriffing/repos', 'received_events_url': u'https://api.github.com/users/argriffing/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/argriffing/starred{/owner}{/repo}', 'site_admin': False, 'login': u'argriffing', 'type': u'User', 'id': 101416, 'followers_url': u'https://api.github.com/users/argriffing/followers'}",[],https://github.com/numpy/numpy/issues/2906,https://api.github.com/repos/numpy/numpy/issues/2906/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2906,https://api.github.com/repos/numpy/numpy/issues/2906/events,https://github.com/numpy/numpy/pull/2907.diff,https://github.com/numpy/numpy/pull/2907.patch,https://api.github.com/repos/numpy/numpy/issues/2906/comments,"https://github.com/numpy/numpy/blob/master/numpy/core/code_generators/ufunc_docstrings.py#L1102

 exp : calculate x**p.
"
2905,9897416,njsmith,2013-01-11T22:42:37Z,2013-06-10T23:13:27Z,2013-06-10T23:13:27Z,closed,False,,"{'description': u'Tentative NumPy 1.8 release', 'creator': {'following_url': u'https://api.github.com/users/teoliphant/following{/other_user}', 'gists_url': u'https://api.github.com/users/teoliphant/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/teoliphant/orgs', 'url': u'https://api.github.com/users/teoliphant', 'events_url': u'https://api.github.com/users/teoliphant/events{/privacy}', 'html_url': u'https://github.com/teoliphant', 'subscriptions_url': u'https://api.github.com/users/teoliphant/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/254880?v=3', 'repos_url': u'https://api.github.com/users/teoliphant/repos', 'received_events_url': u'https://api.github.com/users/teoliphant/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/teoliphant/starred{/owner}{/repo}', 'site_admin': False, 'login': u'teoliphant', 'type': u'User', 'id': 254880, 'followers_url': u'https://api.github.com/users/teoliphant/followers'}, 'url': u'https://api.github.com/repos/numpy/numpy/milestones/1', 'labels_url': u'https://api.github.com/repos/numpy/numpy/milestones/1/labels', 'created_at': u'2012-02-11T20:17:55Z', 'title': u'1.8 blockers', 'number': 1, 'html_url': u'https://github.com/numpy/numpy/milestones/1.8%20blockers', 'updated_at': u'2015-03-21T02:12:03Z', 'open_issues': 0, 'state': u'closed', 'closed_issues': 89, 'due_on': None, 'closed_at': u'2015-03-21T02:12:03Z', 'id': 83296}",5,Task,Add a big scary warning to oldnumeric and numarray compat modules,,"{'following_url': u'https://api.github.com/users/njsmith/following{/other_user}', 'gists_url': u'https://api.github.com/users/njsmith/gists{/gist_id}', 'organizations_url': u'https://api.github.com/users/njsmith/orgs', 'url': u'https://api.github.com/users/njsmith', 'events_url': u'https://api.github.com/users/njsmith/events{/privacy}', 'html_url': u'https://github.com/njsmith', 'subscriptions_url': u'https://api.github.com/users/njsmith/subscriptions', 'avatar_url': u'https://avatars.githubusercontent.com/u/609896?v=3', 'repos_url': u'https://api.github.com/users/njsmith/repos', 'received_events_url': u'https://api.github.com/users/njsmith/received_events', 'gravatar_id': u'', 'starred_url': u'https://api.github.com/users/njsmith/starred{/owner}{/repo}', 'site_admin': False, 'login': u'njsmith', 'type': u'User', 'id': 609896, 'followers_url': u'https://api.github.com/users/njsmith/followers'}","[{'url': u'https://api.github.com/repos/numpy/numpy/labels/Task', 'color': u'd7e102', 'name': u'Task'}]",https://github.com/numpy/numpy/issues/2905,https://api.github.com/repos/numpy/numpy/issues/2905/labels{/name},https://api.github.com/repos/numpy/numpy/issues/2905,https://api.github.com/repos/numpy/numpy/issues/2905/events,https://github.com/numpy/numpy/pull/2907.diff,https://github.com/numpy/numpy/pull/2907.patch,https://api.github.com/repos/numpy/numpy/issues/2905/comments,"As per the thread starting here:
http://mail.scipy.org/pipermail/numpy-discussion/2013-January/065111.html"
